Product_Price,Promotion,Product_Category,Store_Location,Shelf_Space,Competitor_Price,Season,Day_of_Week,Units_in_Inventory,Online_Sales,Week_of_Year,units_sold
14.23,0,Food,Rural,14.98,14.75,Winter,Tue,113,0,4,84
12.29,0,Clothing,Rural,17.49,11.79,Fall,Fri,88,0,40,112
14.78,0,Electronics,Suburban,10.1,15.35,Fall,Sun,151,0,11,104
16.75,0,Food,Suburban,13.36,17.81,Spring,Tue,147,1,13,97
13.37,0,Food,Suburban,4.54,11.48,Winter,Wed,115,0,14,101
11.7,1,Electronics,Rural,5.11,13,Fall,Tue,73,0,17,209
13.45,0,Electronics,Suburban,12.69,14.65,Summer,Mon,143,0,10,121
11.94,0,Electronics,Suburban,13.52,12.92,Fall,Tue,110,1,38,132
11.18,0,Electronics,Rural,2.69,11.86,Spring,Mon,135,0,14,105
14.52,0,Clothing,Suburban,4.25,14.35,Summer,Wed,164,0,12,103
11.04,1,Housewares,Urban,10.78,11.12,Summer,Thu,135,0,40,205
7.86,1,Food,Rural,10.03,8.59,Fall,Fri,55,0,5,170
10.97,0,Food,Suburban,11.35,11.4,Fall,Sat,107,0,35,113
14.75,1,Food,Suburban,11.19,13.82,Fall,Tue,131,1,28,239
15.9,0,Electronics,Rural,12.45,14.59,Fall,Tue,150,1,21,113
11.61,0,Housewares,Urban,10.32,10.96,Winter,Mon,135,0,47,109
12.02,0,Food,Rural,7.28,11.09,Fall,Sat,83,1,17,115
13.52,1,Electronics,Suburban,17,13.21,Spring,Fri,104,0,18,233
8.77,0,Electronics,Suburban,12.8,8.4,Summer,Thu,129,0,27,101
22.36,1,Food,Suburban,10.34,22.9,Spring,Tue,106,0,29,251
11.46,0,Food,Suburban,18.41,13.62,Spring,Wed,132,1,12,125
14.64,0,Housewares,Urban,9.96,15.65,Summer,Tue,96,0,44,107
24.86,0,Food,Suburban,7.02,23.41,Spring,Wed,84,0,23,32
14.41,0,Clothing,Urban,9.18,14.06,Spring,Tue,177,0,41,125
11.83,0,Electronics,Suburban,8.24,10.94,Summer,Sun,106,0,18,100
8.8,1,Food,Urban,5.13,11.59,Fall,Tue,124,0,20,198
9.68,0,Electronics,Suburban,11.41,9.09,Spring,Mon,100,0,13,102
12.34,0,Food,Urban,12.13,12.72,Summer,Sat,100,0,49,105
11.08,0,Food,Urban,8.95,9.8,Spring,Tue,106,1,33,109
14.59,1,Food,Suburban,6.22,14.26,Summer,Wed,80,1,25,233
9.43,0,Housewares,Rural,2.18,10.94,Spring,Tue,106,0,9,101
19.2,0,Food,Suburban,23.27,19.17,Fall,Mon,101,1,9,94
8.87,1,Housewares,Urban,11.79,8.52,Spring,Fri,100,0,21,182
14.11,1,Electronics,Rural,7.29,14.7,Summer,Mon,93,0,27,227
10.4,0,Electronics,Rural,3.94,10.3,Summer,Tue,73,1,6,111
8.88,0,Clothing,Urban,3.42,8.09,Spring,Thu,87,0,12,105
13.08,0,Food,Urban,14.29,11.8,Winter,Sat,100,0,10,115
8.41,0,Clothing,Suburban,6.49,9.97,Winter,Mon,125,0,40,107
15.3,0,Food,Suburban,16.99,14.8,Summer,Mon,103,1,45,118
15.53,0,Electronics,Suburban,12.59,14.67,Spring,Sun,256,1,14,119
16.75,0,Clothing,Rural,9.72,17.92,Winter,Sun,128,0,13,115
17.56,0,Clothing,Urban,8.65,16.85,Winter,Sat,154,0,14,103
10.46,1,Electronics,Rural,11.9,10.31,Summer,Fri,86,1,19,210
11.13,1,Electronics,Suburban,10.51,11.5,Winter,Sat,110,1,15,247
8.31,0,Electronics,Suburban,9.16,7.41,Spring,Wed,197,0,34,106
16.17,0,Clothing,Suburban,6.59,19.01,Spring,Sat,75,1,20,117
10.91,1,Food,Rural,18.31,11.51,Fall,Tue,82,0,32,218
